"section","order","file","originalName","width","height","alt","context"
"hero-and-akool","0","images/kw8vfuk4bb5yDcVGQ7M5C97c.png","kw8vfuk4bb5yDcVGQ7M5C97c.png","84","82","",""
"hero-and-akool","1","images/A0XixKFvjxxQJ8sgnzGXtNOqDHY.png","A0XixKFvjxxQJ8sgnzGXtNOqDHY.png","103","45","",""
"hero-and-akool","2","images/To57oBa2ocWjVytjkOui11T34mw.png","To57oBa2ocWjVytjkOui11T34mw.png","100","36","",""
"hero-and-akool","3","images/Zd7OrY7H5XHsE3rzT7EXdTghgTE.png","Zd7OrY7H5XHsE3rzT7EXdTghgTE.png","50","48","",""
"hero-and-akool","4","images/n74DOv2JFA2nvO5udrdVj3m2Vo.png","n74DOv2JFA2nvO5udrdVj3m2Vo.png","1035","779","",""
"hero-and-akool","5","images/yYHAJfe5mnD3HJq2JUhf8foM5g.png","yYHAJfe5mnD3HJq2JUhf8foM5g.png","64","122","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","6","images/rnSNcUt7AARtRxfQlOMi5CdyF2M.png","rnSNcUt7AARtRxfQlOMi5CdyF2M.png","283","176","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","7","images/tYMeKa1vpUZTjR7sxgn2Y1M6o.png","tYMeKa1vpUZTjR7sxgn2Y1M6o.png","47","47","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","8","images/I5XJ7YWLit19wYZ01Z4xo2T31o.png","I5XJ7YWLit19wYZ01Z4xo2T31o.png","37","37","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","9","images/uzlQLN9YQT1zhfi1XhNFOeGCHE8.png","uzlQLN9YQT1zhfi1XhNFOeGCHE8.png","45","45","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"hero-and-akool","10","images/xnUg8RExk6YNQ5qMsbAcLOnpcxs.png","xnUg8RExk6YNQ5qMsbAcLOnpcxs.png","48","48","","End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C Product Internshi"
"featured-projects","11","images/ipvYobD6R5gwDM75HADMY4uXqIU.png","ipvYobD6R5gwDM75HADMY4uXqIU.png","637","546","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","12","images/UHIhF5z0rCwMx3ofY9ZhMuKAQ.png","UHIhF5z0rCwMx3ofY9ZhMuKAQ.png","82","65","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","13","images/uyvQS3H8LhnvBbVBcNK4tbvxE.png","uyvQS3H8LhnvBbVBcNK4tbvxE.png","25","25","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","14","images/F88Oars6dEz3rF4fRVs49pXXZ0A.png","F88Oars6dEz3rF4fRVs49pXXZ0A.png","57","57","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","15","images/YUrWrQt3EBxwiGpWsUxWaKcc6f0.png","YUrWrQt3EBxwiGpWsUxWaKcc6f0.png","42","42","","Sole Designer of Siemens XData Hub ETL Turning SME Data Challenges into an MVP in 8 Weeks 0→1 Product Design Data Engineering (ETL) Platform Internship Project"
"featured-projects","16","images/1a9rvLhWMUC8kGTkDqBieE6uy4.png","1a9rvLhWMUC8kGTkDqBieE6uy4.png","90","171","","Featured Projects End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C"
"featured-projects","17","images/xiKhH2uMtRLq6aJ7o5lTKyc3I.png","xiKhH2uMtRLq6aJ7o5lTKyc3I.png","90","171","","Featured Projects End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C"
"featured-projects","18","images/KaHyfkp6ALRteyeSGid06gOCEzU.png","KaHyfkp6ALRteyeSGid06gOCEzU.png","90","171","","Featured Projects End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C"
"featured-projects","19","images/qpk0Ru4LV8X5OQ4sISREh2cYXs.png","qpk0Ru4LV8X5OQ4sISREh2cYXs.png","47","37","","Featured Projects End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C"
"featured-projects","20","images/le7KBqQPt40iVN8MSkzysaXp9I.png","le7KBqQPt40iVN8MSkzysaXp9I.png","37","37","","Featured Projects End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C"
"featured-projects","21","images/9dM0cEPzC3QTPa3ybDud7W0JoA.png","9dM0cEPzC3QTPa3ybDud7W0JoA.png","45","45","","Featured Projects End-to-End Designer of AKOOL's AI Image Generator 2.0 Driving +16% creations on a 7M-user GenAI platform through UX iteration #1 on Inc.5000 AI-Native Startup B2C"
"vibe-coding","23","images/2hOQo6vHzVUEolZt4Jdht003A.png","2hOQo6vHzVUEolZt4Jdht003A.png","668","445","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"vibe-coding","24","images/Snm10XuSyGSplwqU9IfOxnyAT4.png","Snm10XuSyGSplwqU9IfOxnyAT4.png","176","176","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"vibe-coding","25","images/9PiMNrI5x9DO4A1LiMz6f6BAK2c.png","9PiMNrI5x9DO4A1LiMz6f6BAK2c.png","254","171","",""
"vibe-coding","26","images/RiqLKfUeOnAkCdZNYWVN54MMxFA.png","RiqLKfUeOnAkCdZNYWVN54MMxFA.png","45","33","",""
"vibe-coding","27","images/J1O6CHILYQ0n65zJAKBLpwwXG7k.png","J1O6CHILYQ0n65zJAKBLpwwXG7k.png","180","58","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"vibe-coding","28","images/EEJGW2LbBUlrPP64xysTU8KUcT4.png","EEJGW2LbBUlrPP64xysTU8KUcT4.png","91","33","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"vibe-coding","29","images/Ks9L93RYl2gwMgFwiigTs9MhLo.png","Ks9L93RYl2gwMgFwiigTs9MhLo.png","104","82","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"vibe-coding","30","images/H11tqegsU9qm81ZWJpdyvZNu4.png","H11tqegsU9qm81ZWJpdyvZNu4.png","288","210","",""
"vibe-coding","31","images/z01pbWh5Uws8RoKuM1wDnZVnBik.png","z01pbWh5Uws8RoKuM1wDnZVnBik.png","273","199","","Chritmas tree made of rejection emails"
"vibe-coding","32","images/ocbY2uGzkB2KjmqcFdPI26821NI.png","ocbY2uGzkB2KjmqcFdPI26821NI.png","50","27","","Chritmas tree made of rejection emails"
"vibe-coding","33","images/kAdR0alktNAyDBXf8jDfVUbCkdU.png","kAdR0alktNAyDBXf8jDfVUbCkdU.png","49","18","","Chritmas tree made of rejection emails"
"vibe-coding","34","images/sVyFF0I3IJVWcRo8h0y4vClQ18.png","sVyFF0I3IJVWcRo8h0y4vClQ18.png","18","18","","Chritmas tree made of rejection emails"
"vibe-coding","35","images/mUtWCOJGU0ABAUW8sCFWk1OSUVo.png","mUtWCOJGU0ABAUW8sCFWk1OSUVo.png","186","250","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","36","images/ZX2aLnxdh7JHRtbNke9u4272TWQ.png","ZX2aLnxdh7JHRtbNke9u4272TWQ.png","187","234","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","37","images/xxRBOkPDrW19Prpbbj1s7ap0DFw.png","xxRBOkPDrW19Prpbbj1s7ap0DFw.png","31","6","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","38","images/EglDn1eZzU5OOKALS6lK7Rpog.png","EglDn1eZzU5OOKALS6lK7Rpog.png","31","16","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","39","images/k4vxzwpdUysWRPsx59yscP95iEY.png","k4vxzwpdUysWRPsx59yscP95iEY.png","31","13","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","40","images/ACK99otcO4GzOG2TrAifm8QHcqM.png","ACK99otcO4GzOG2TrAifm8QHcqM.png","50","29","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","41","images/nvVmqesHhAViGJmCGehX1vCBf0.png","nvVmqesHhAViGJmCGehX1vCBf0.png","32","8","","Open claw inspired Agent Oversight Dashboard "
"vibe-coding","42","images/LSwH4R7lfCekGIPFrVnEUC7mSJ4.png","LSwH4R7lfCekGIPFrVnEUC7mSJ4.png","90","90","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"vibe-coding","43","images/1Xq9yrvZyiofqMOw9vd7Na31s.png","1Xq9yrvZyiofqMOw9vd7Na31s.png","66","66","","Vibe Coding field notes from config'26 Chritmas tree made of rejection emails Open claw inspired Agent Oversight Dashboard "
"design-toolkit","45","images/iCKG6aQoTYwjsfslKildDzDXjWQ.png","iCKG6aQoTYwjsfslKildDzDXjWQ.png","668","445","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","46","images/QREInI4cFG7Sxb83aS477kJvL0.png","QREInI4cFG7Sxb83aS477kJvL0.png","170","97","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","47","images/sUlcdg0ICNhA0HbsHln4wgEvfA.png","sUlcdg0ICNhA0HbsHln4wgEvfA.png","170","95","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","48","images/uBVmdxzllQCI9M7Ce5A9MJJI.png","uBVmdxzllQCI9M7Ce5A9MJJI.png","70","152","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","49","images/kI71JQxzBsVksptyfXRpek7BM.png","kI71JQxzBsVksptyfXRpek7BM.png","70","150","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","50","images/YJ7qr86GzNLZJKBgqvXXysLCw8U.png","YJ7qr86GzNLZJKBgqvXXysLCw8U.png","70","151","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","51","images/V1jZaKJbabaL9m4KLEB5Ps0XjEU.png","V1jZaKJbabaL9m4KLEB5Ps0XjEU.png","69","149","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","52","images/10pCEtT0QjBALkwmpZdeGGupSk.png","10pCEtT0QjBALkwmpZdeGGupSk.jpg","182","90","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","53","images/XDZzxvEmC9OlBD1Vz8zslZiFb5Q.png","XDZzxvEmC9OlBD1Vz8zslZiFb5Q.png","170","109","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","54","images/vA5Wzc8wqRZz4as95giX6sE7E.png","vA5Wzc8wqRZz4as95giX6sE7E.png","170","93","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","55","images/Hc4JLMsg7E5n5Unk9Lu6LIF9UM.png","Hc4JLMsg7E5n5Unk9Lu6LIF9UM.png","155","97","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","56","images/Ow88kijPgLbHUvOTO888dkjs.png","Ow88kijPgLbHUvOTO888dkjs.png","94","86","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","57","images/wvOSVzlKII6YSogETR7NCKCZqAo.png","wvOSVzlKII6YSogETR7NCKCZqAo.png","105","157","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","58","images/iZjp2e9ma3ldXL4DRyRBzmpiw.png","iZjp2e9ma3ldXL4DRyRBzmpiw.png","172","195","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","59","images/11uTSPEyMSmvIjA5HXWrOzv3mHw.png","11uTSPEyMSmvIjA5HXWrOzv3mHw.png","175","175","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","60","images/CKx0X5X2nBOksjkOGkUnUkixNLM.png","CKx0X5X2nBOksjkOGkUnUkixNLM.png","142","157","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","61","images/5Tz47IEfhvdDokyNC8pHK7Kqw.png","5Tz47IEfhvdDokyNC8pHK7Kqw.png","225","337","","My Design Toolkit Building Design System Crafting Graceful UI Simplifying Complex SaaS"
"design-toolkit","63","images/Isu4lpHAQKdkzaMiG6sflRK7Ow.jpg","Isu4lpHAQKdkzaMiG6sflRK7Ow.jpg","1280","1280","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","62","images/36lfHPWTDJQOcFpigFNLZzI6Y.png","36lfHPWTDJQOcFpigFNLZzI6Y.png","400","400","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","64","images/1aYKsDxmhTb3CAheqTo9RyIPGIs.png","1aYKsDxmhTb3CAheqTo9RyIPGIs.png","400","400","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","65","images/03M7mtRJeSkIESdVbKwbWAAyj0s.jpg","03M7mtRJeSkIESdVbKwbWAAyj0s.jpg","1280","1280","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","66","images/ACAqekk053rsrb6xBmwXfFpU8A.jpg","ACAqekk053rsrb6xBmwXfFpU8A.jpg","400","400","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","67","images/EUjfTkhUJCaXcK9t3KM8K6wQ2ks.jpg","EUjfTkhUJCaXcK9t3KM8K6wQ2ks.jpg","1280","1280","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","68","images/K2R6sYHjNsiOU1EUQaoDcPH1dA.png","K2R6sYHjNsiOU1EUQaoDcPH1dA.png","400","400","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","69","images/keWt8J7XqFJ3vdekQ17rEhw5jt4.jpg","keWt8J7XqFJ3vdekQ17rEhw5jt4.jpg","1280","1280","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","70","images/P41gjrNAOz7Kddw9ipuFmvirCyw.jpeg","P41gjrNAOz7Kddw9ipuFmvirCyw.jpeg","200","200","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","72","images/o1MNcuY3XV6ONgKCzLe0bKg0A.png","o1MNcuY3XV6ONgKCzLe0bKg0A.png","64","64","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"design-journey","74","images/qBTebIavoC4ZhrO0NpUfAHb0.png","qBTebIavoC4ZhrO0NpUfAHb0.png","64","64","","My Design Journey Siemens Product Design Intern Jul 2025 -Sep 2025 Full time As the sole designer, I built an enterprise data platform (X-DataHub) from 0 to 1—my largest-scope proj"
"about","76","images/RpPzi1fdfIIrPJg77alWkKc6Jm8.png","RpPzi1fdfIIrPJg77alWkKc6Jm8.png","668","445","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","77","images/ka2HmgzFjfq3yzBbK9cjGs5ZmB8.png","ka2HmgzFjfq3yzBbK9cjGs5ZmB8.png","284","250","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","78","images/kM4sBpfrA0ZFYO4Dkc9cdmtIMUw.png","kM4sBpfrA0ZFYO4Dkc9cdmtIMUw.png","183","137","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","79","images/QBSzlcWzzliTafpqT0lHZLbCswA.png","QBSzlcWzzliTafpqT0lHZLbCswA.png","668","445","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","80","images/tQDdgcQ4HmzTMvPrkCEEnt0nces.jpg","tQDdgcQ4HmzTMvPrkCEEnt0nces.jpg","222","150","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","81","images/CfN4mjOhVKZfWymE4JIJQBUq6k.png","CfN4mjOhVKZfWymE4JIJQBUq6k.png","237","119","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","82","images/iXd36417kKYhMXehWlj4CDt0w04.png","iXd36417kKYhMXehWlj4CDt0w04.jpg","165","88","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","83","images/yNqRQAbsdoNtRfl771Bhgbifhh4.jpg","yNqRQAbsdoNtRfl771Bhgbifhh4.jpg","129","61","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","84","images/n1soVSbFRfGlKB37eGMC5jeguMI.png","n1soVSbFRfGlKB37eGMC5jeguMI.jpg","118","130","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","85","images/QvCTuPHZdsnSeehABu2UCY4R3Y.jpg","QvCTuPHZdsnSeehABu2UCY4R3Y.jpg","102","143","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","86","images/gZjkNINbO4mEXeZJnUziL8FJM.png","gZjkNINbO4mEXeZJnUziL8FJM.png","184","113","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","87","images/FPhn7McOazstiCS3h8EKKZ640.jpg","FPhn7McOazstiCS3h8EKKZ640.jpg","195","146","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","88","images/QHZKB0urMfOwsht0cCqWV3MhoY.png","QHZKB0urMfOwsht0cCqWV3MhoY.jpg","249","91","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","89","images/PoiuqH2jskGyE3xhZD1iJLcvNBg.png","PoiuqH2jskGyE3xhZD1iJLcvNBg.png","668","445","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","90","images/tzmhndHCyCO4Eo7oRYdxmIVKiTg.jpg","tzmhndHCyCO4Eo7oRYdxmIVKiTg.jpg","1279","1281","card-0","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","91","images/yzXkZuukRrIZqunGcSe3B3L45lQ.jpg","yzXkZuukRrIZqunGcSe3B3L45lQ.jpg","1279","1706","card-1","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","92","images/M6Qqd3B0kTEyFG5F9hjmFxlols.jpg","M6Qqd3B0kTEyFG5F9hjmFxlols.jpg","1280","960","card-2","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","93","images/5OUPML1Rmh2K1mPi5xEfMF8QNOI.jpg","5OUPML1Rmh2K1mPi5xEfMF8QNOI.jpg","1707","1280","card-3","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","94","images/UiTg5bttx0MkY2ApPU479YROs.jpg","UiTg5bttx0MkY2ApPU479YROs.jpg","1707","1280","card-4","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","95","images/3ZuwR1K7KwdNpzM7nfLjsNzoNKk.png","3ZuwR1K7KwdNpzM7nfLjsNzoNKk.png","668","445","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","96","images/QRGZyGRAf0QwAYbVddHt4wxGkA.webp","QRGZyGRAf0QwAYbVddHt4wxGkA.webp","140","116","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","97","images/lkY8vh8k5IL5jaN7tBaRZWMD4k.webp","lkY8vh8k5IL5jaN7tBaRZWMD4k.webp","844","1024","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"about","100","images/qJmlX484WbT85KIDvYzMLjWEB8.webp","qJmlX484WbT85KIDvYzMLjWEB8.webp","512","502","","About Hi, I'm Xiaoyang :) I'm a product designer specializing in transforming complex enterprise data and AI workflows into intuitive, scalable B2B solutions. My approach is deeply"
"thank-you-and-footer","101","images/mtYxVS1lgU4Cxmxi9tFTZMy7p8.png","mtYxVS1lgU4Cxmxi9tFTZMy7p8.png","150","58","",""
